Indicador,Nível Territorial,Abertura Territorial,Variável de abertura 1,Categoria de abertura 1,Variável de abertura 2,Categoria de abertura 2,Valor,mes_entrevista
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Superior completo ou pós-graduação,-,-,1.9558282168060164,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Sexo,Total,-,-,11.387288976350197,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Sexo,Homem,-,-,10.09483682144647,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Sexo,Mulher,-,-,12.623518626988186,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,Total,-,-,11.387288976350197,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,0 a 9 anos,-,-,5.931334263358866,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,10 a 19 anos,-,-,7.426965777676356,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,20 a 29 anos,-,-,12.59596924115723,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,30 a 59 anos,-,-,13.9710182193581,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,60 anos ou mais,-,-,11.877983614787137,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade 2,Total ,-,-,11.387288976350197,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade 2,0 a 59 anos ,-,-,11.305952315563218,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade 2,60 anos ou mais ,-,-,11.877983614787137,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Cor ou Raça,Total4,-,-,11.387288976350197,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Cor ou Raça,Branca,-,-,10.406529104096334,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Cor ou Raça,Preta ou parda,-,-,12.10740315483933,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Total,-,-,11.387288976350197,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Sem instrução ao fundamental incompleto,-,-,9.130553477278001,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Fundamental completo ao médio incompleto,-,-,11.555255143388546,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Médio completo ao superior incompleto,-,-,13.292044092377564,5
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Superior completo ou pós-graduação,-,-,13.88169536113663,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Sexo,Total,-,-,0.9718026143192525,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Sexo,Homem,-,-,1.2225430631862126,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Sexo,Mulher,-,-,1.064502392029593,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,Total,-,-,0.9718026143192525,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,0 a 9 anos,-,-,2.9093664409233866,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,10 a 19 anos,-,-,2.2949903843513324,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,20 a 29 anos,-,-,1.7974475441329347,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,30 a 59 anos,-,-,1.0839151841629586,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade,60 anos ou mais,-,-,1.6549442966397683,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade 2,Total ,-,-,0.9718026143192525,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade 2,0 a 59 anos ,-,-,1.0468088541839002,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Grupos de Idade 2,60 anos ou mais ,-,-,1.6549442966397683,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Cor ou Raça,Total4,-,-,0.9718026143192525,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Cor ou Raça,Branca,-,-,1.3778564532673863,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Cor ou Raça,Preta ou parda,-,-,1.1756632297950258,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Total,-,-,0.9718026143192525,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Sem instrução ao fundamental incompleto,-,-,1.4358725499789193,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Fundamental completo ao médio incompleto,-,-,1.7712080058119546,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Médio completo ao superior incompleto,-,-,1.3412652432018972,5
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ,País,Brasil,Nível de instrução,Superior completo ou pós-graduação,-,-,1.8738027042296022,5
